branch_name,constituency_name,chair_name,chair_email
Ashton-under-Lyne,Ashton-under-Lyne,Robert Barrowcliffe,ashtonunderlyne@reformuk.com
North Northumberland,North Northumberland,Helen Mason,chair.nnorthumberland@reformuk.com
Liverpool West Derby,Liverpool West Derby,,
Salford,Salford,,
Worsley and Eccles,Worsley and Eccles,Craig Birtwistle,chair.worsleyeccles@reformuk.com
St Helens,St Helens South and Whiston,Malcolm Webster,chair.sthelens@reformuk.com
Stretford and Urmston,Stretford and Urmston,,
Warrington,Warrington South,Jan Balfe,jan.balfe@reformparty.uk
Warrington,Warrington North,Jan Balfe,jan.balfe@reformparty.uk
Heywood and Middleton North,Heywood and Middleton North,Steve Potter,heywoodandmiddletonnorth@reformuk.com
Bury,Bury North,,
Chorley,Chorley,Sue Holdsworth,chair.chorley@reformuk.com
Rochdale,Rochdale,,
Makerfield,Makerfield,Robert Kenyon,makerfield@reformuk.com
Carlisle,Carlisle,,
Morecambe and Lunesdale,Morecambe and Lunesdale,,
Ribble Valley,Ribble Valley,,
Fylde,Fylde,Phil Humphries,chair.fylde@reformuk.com
Preston,Preston,Scott Pye,chair.preston@reformuk.com
Burnley,Burnley,Victoria Fletcher,Chair.burnley@reformuk.com
Pendle and Clitheroe,Pendle and Clitheroe,,
Lancaster and Wyre,Lancaster and Wyre,,
Blackburn,Blackburn,,
Hyndburn,Hyndburn,Terry Waterhouse,chair.hyndburn@reformuk.com
Rossendale and Darwen,Rossendale and Darwen,Daniel Matchett,rossendaleanddarwen@reformparty.uk
Southport,Southport,Andrew N Lynn,southport@reformuk.com
West Lancashire,West Lancashire,Simon Evans,chair.westlancashire@reformuk.com
Sefton,Bootle,Nagender Chindan,seftoncentral@reformuk.com
Chesham and Amersham,Chesham and Amersham,,
Dartford,Dartford,Ryan Coshall,dartford@reformuk.com
East Grinstead and Uckfield,East Grinstead and Uckfield,,
Doncaster,Doncaster North,Irwen Martin,chair.doncaster@reformuk.com
Sheffield,Sheffield Central,,
Sheffield,Sheffield Brightside and Hillsborough,,
Sheffield,Sheffield Heeley,,
Barnsley,Penistone and Stocksbridge,David White,david.white@reformuk.com
Barnsley,Barnsley North,David White,david.white@reformuk.com
Rotherham,Rotherham,Adam Wood,chair.rcrrv@reformuk.com
Doncaster,Doncaster Central,Irwen Martin,chair.doncaster@reformuk.com
Scunthorpe,Scunthorpe,Darren Haley,scunthorpe@reformuk.com
York,York Central,John Crispin-Bailey,chair.york@reformuk.com
Brigg and Immingham,Brigg and Immingham,,
Grimsby and Cleethorpes,Great Grimsby and Cleethorpes,,
Hull,Kingston upon Hull East,Richard Kelly,Gooleandpocklington@reformuk.com
Beverley and Holderness,Beverley and Holderness,Andrew Smith ,beverleyandholderness@reformuk.com
Selby,Selby,Jack Schofield,chair.selby@reformuk.com
Wetherby and Easingwold,Wetherby and Easingwold,Michael Jordan,wetherbyandeasingwold@reformuk.com
Skipton and Ripon,Skipton and Ripon,Simon Garvey,skiptonandripon@reformuk.com
Sheffield,Sheffield Hallam,,
West Bromwich,West Bromwich,Ray Nock,westbromwich@reformuk.com
Bromsgrove,Bromsgrove,Glen Brampton,bromsgrove@reformuk.com
Coventry South,Coventry South,Steve Arnold,chair.coventrysouth@reformuk.com
Burton and Uttoxeter,Burton and Uttoxeter,,
Newcastle-Under-Lyme,Newcastle-under-Lyme,Neill Walker,chair.nul@reformuk.com
Staffordshire Moorlands,Staffordshire Moorlands,Dave Poole,staffordshiremoorlands@reformuk.com
Stoke-on-Trent North,Stoke-on-Trent North,Karl Beresford,stokeontrentnorth@reformuk.com
Stoke-on-Trent Central,Stoke-on-Trent Central,Luke Shenton,stokeontrentcentral@reformuk.com
Stoke-on-Trent South,Stoke-on-Trent South,Michael Bailey,stokeontrentsouth@reformuk.com
Cannock Chase,Cannock Chase,Paul Allen,cannockchase@reformuk.com
"Stone, Great Wyrley and Penkridge","Stone, Great Wyrley and Penkridge",Carl Hardwick,chair.stonegwandp@reformuk.com
Stafford,Stafford,Richard Travis,chair.stafford@reformuk.com
Wolverhampton North East,Wolverhampton North East,Paul Williams,wolverhamptonnortheast@reformuk.com
Wolverhampton South East,Wolverhampton South East,,
Tipton and Wednesbury,Tipton and Wednesbury,Jack Sabharwal,tiptonandwednesbury@reformuk.com
Stratford-On-Avon,Stratford-on-Avon,James Crocker,stratfordonavon@reformuk.com
North Herefordshire,North Herefordshire,Andy Dye,northherefordshire@reformuk.com
Solihull West and Shirley,Solihull West and Shirley,,
Scarborough and Whitby,Scarborough and Whitby,David Bowes,scarboroughandwhitby@reformuk.com
"Pontefract, Castleford and Knottingley","Pontefract, Castleford and Knottingley",John Thomas,chair.pontefractcastleford@reformuk.com
Tamworth,Tamworth,Ian Cooper,tamworth@reformuk.com
"Dwyfor Meirionnydd, Montgomeryshire and Glyndwr",Montgomeryshire and Glyndŵr,James Pryor,chair.dmmag@reformuk.com
Cardiff,Cardiff South and Penarth,Peter Hopkins,chair.cardiff@reformuk.com
Cardiff,Cardiff West,Peter Hopkins,chair.cardiff@reformuk.com
"Dwyfor Meirionnydd, Montgomeryshire and Glyndwr",Dwyfor Meirionnydd,James Pryor,chair.dmmag@reformuk.com
Swansea West and Gower,Gower,Catrin Thomas,chair.swag@reformuk.com
Carmarthenshire,Llanelli,Gareth Beer,chair.carmarthenshire@reformuk.com
"Merthyr Tydfil, Aberdare and Pontypridd",Merthyr Tydfil and Aberdare,Steve Bayliss,chair.mtap@reformuk.com
Monmouthshire and Torfaen,Monmouthshire,Sue Boucher,chair.mat@reformuk.com
"Brecon, Radnor, Neath and Swansea East",Neath and Swansea East,,
Dewsbury and Batley,Dewsbury and Batley,Jonathan Thackray,dewsburyandbatley@reformuk.com
Newport and Islwyn,Newport East,Julie Price,chair.nai@reformuk.com
"Merthyr Tydfil, Aberdare and Pontypridd",Pontypridd,Steve Bayliss,chair.mtap@reformuk.com
Swansea West and Gower,Swansea West,Catrin Thomas,chair.swag@reformuk.com
Monmouthshire and Torfaen,Torfaen,Sue Boucher,chair.mat@reformuk.com
Vale of Glamorgan and Bridgend,Vale of Glamorgan,Caroline Jones,chair.vgb@reformuk.com
"Alyn, Deeside and Wrexham",Wrexham,Rory O'Brien,chair.adw@reformuk.com
Bangor Aberconwy Ynys Mon,Ynys Môn,John Clark,chair.baym@reformuk.com
Cardiff,Cardiff North,Peter Hopkins,chair.cardiff@reformuk.com
Cardiff,Cardiff East,Peter Hopkins,chair.cardiff@reformuk.com
"Blaenau Gwent, Rhymney and Caerphilly",Caerphilly,Dr Gareth Thomas,chair.bgrc@reformuk.com
Carmarthenshire,Caerfyrddin,Gareth Beer,chair.carmarthenshire@reformuk.com
Calderdale,Halifax,Penny Hutchinson,chair.halifaxcalderv@reformuk.com
Colne Valley,Colne Valley,Stuart Hale,colnevalley@reformuk.com
Huddersfield,Huddersfield,,
Keighley and Ilkley,Keighley and Ilkley,Andrew Judson,chair.keighleyilkley@reformuk.com
Bradford,Bradford West,,
Shipley,Shipley,,
Bradford,Bradford South,,
Leeds East,Leeds North East,David Dresser,leedseast@reformuk.com
Leeds Central,Leeds Central and Headingley,,
Leeds North West,Leeds North West,,
Cities of London and Westminster,Cities of London and Westminster,Tarun Ghulati,chair.citieslw@reformuk.com
"Camden, Haringey",Hampstead and Highgate,Catherine Becker,chair.camdenharingey@reformuk.com
Clwyd,Clwyd East,Christopher Newton,chair.clwyd@reformuk.com
"Blaenau Gwent, Rhymney and Caerphilly",Blaenau Gwent and Rhymney,Dr Gareth Thomas,chair.bgrc@reformuk.com
Vale of Glamorgan and Bridgend,Bridgend,Caroline Jones,chair.vgb@reformuk.com
Lichfield,Lichfield,Richard Howard,lichfield@reformuk.com
Kingswinford and South Staffordshire,Kingswinford and South Staffordshire,Gary Dale,kingswinfordandsouthstaffordshire@reformuk.com
Maidstone and Malling,Maidstone and Malling,Paul Thomas,maidstoneandmalling@reformuk.com
Swindon,Swindon South,,
Christchurch,Christchurch,Robin Adamson,christchurch@reformparty.uk
Tewkesbury,Tewkesbury,,
North Cotswolds,North Cotswolds,,
Cheltenham,Cheltenham,,
Gloucester,Gloucester,,
Forest of Dean,Forest of Dean,,
Stroud,Stroud,,
Chippenham,Chippenham,,
Torbay,Torbay,Gordon Scott,Torbay@reformuk.com
Melksham and Devizes,Melksham and Devizes,Malcolm Cupis,melkshamanddevizes@reformuk.com
Salisbury,Salisbury,,
South West Wiltshire,South West Wiltshire,Garry Irvin,southwestwiltshire@reformuk.com
Yeovil,Yeovil,,
Tiverton and Minehead,Tiverton and Minehead,,
Honiton and Sidmouth,Honiton and Sidmouth,,
Exeter,Exeter,,
Bournemouth,Bournemouth East,Martin Houldon,bournemoutheast@reformuk.com
Poole,Poole,Xena Dion,chair.poole@reformuk.com
Bridgwater,Bridgwater,William Fagg,chair.bridgwater@reformuk.com
North Somerset,North Somerset,Alex Kokkinoftas,NorthSomerset@reformuk.com
Sevenoaks,Sevenoaks,,
Tonbridge,Tonbridge,,
Glastonbury and Somerton,Glastonbury and Somerton,,
Mid Dorset and North Poole,Mid Dorset and North Poole,,
South Dorset,South Dorset,Thomas Gargrave,chair.southdorset@reformuk.com
North Dorset,North Dorset,,
West Dorset,West Dorset,,
Bristol Central,Bristol Central,,
Bristol South,Bristol South,,
Bristol North West,Bristol North West,,
Filton and Bradley Stoke,Filton and Bradley Stoke,Steve Burge,filtonandbradleystoke@reformuk.com
Thornbury and Yate,Thornbury and Yate,,
Bath,Bath,Teresa Hall,bath@reformuk.com
Weston-super-Mare,Weston-super-Mare,,
Frome and East Somerset,Frome and East Somerset,,
Newton Abbot,Newton Abbot,Chris Hilditch,Newtonabbot@reformuk.com
Central Devon,Central Devon,Roland Smith,centraldevon@reformuk.com
Smethwick,Smethwick,Pete Durnell,pete.durnell@reformparty.uk
Coventry North West,Coventry North West,Jessica Mason,chair.coventrynw@reformuk.com
Birmingham Yardley,Birmingham Yardley,Rachel Conaghan,chair.bhamyardley@reformuk.com
Hereford and South Herefordshire,Hereford and South Herefordshire,Dave James,chair.herefordandsh@reformuk.com
West Worcestershire,West Worcestershire,Chris Edmondson,chair.wworcestershire@reformuk.com
Worcester,Worcester,Paul Hickling,chair.worcester@reformuk.com
Wyre Forest,Wyre Forest,Craig Cox,chair.wyreforest@reformuk.com
Redditch,Redditch,,
Coventry East,Coventry East,Iddrisu Sufyan,coventryeast@reformuk.com
Shrewsbury,Shrewsbury,Vic Applegate,shropshire@reformuk.com
Plymouth,Plymouth Moor View,John Riley,PlymouthMoorview@reformuk.com
Telford,Telford,Greg Sinclair,chair.telford@reformuk.com
Wolverhampton West,Wolverhampton West,Don Brookes,wolverhamptonwest@reformuk.com
Aldridge-Brownhills,Aldridge-Brownhills,Graham Eardley,aldridgebrownhills@reformuk.com 
Walsall and Bloxwich,Walsall and Bloxwich,Elaine Williams,walsallandbloxwich@reformuk.com
Dudley,Dudley,Andrew Southall,dudley@reformuk.com
Halesowen,Halesowen,Roberto Ross,chair.halesowen@reformuk.com
Stourbridge,Stourbridge,Bob Billingham,chair.stourbridge@reformuk.com
Birmingham Selly Oak,Birmingham Selly Oak,Erin Crawford,birminghamsellyoak@reformuk.com
Birmingham Northfield,Birmingham Northfield,Stephen Peters,chair.birminghamnf@reformuk.com
Birmingham Hall Green and Moseley,Birmingham Hall Green and Moseley,,
Birmingham Ladywood,Birmingham Ladywood,Steve Kelly,chair.bhamladywood@reformuk.com
Plymouth,Plymouth Sutton and Devonport,John Riley,PlymouthMoorview@reformuk.com
North Devon,North Devon,,
Plymouth,South West Devon,John Riley,PlymouthMoorview@reformuk.com
North Cornwall,North Cornwall,Rowland O'Connor,NorthCornwall@reformuk.com
South East Cornwall,South East Cornwall,,
St Austell and Newquay,St Austell and Newquay,,
Truro and Falmouth,Truro and Falmouth,Steve Rubidge,truroandfalmouth@reformuk.com
St Ives,St Ives,,
Birmingham Perry Barr,Birmingham Perry Barr,,
Kenilworth and Southam,Kenilworth and Southam,Jacqui Harris,kenilworthandsoutham@reformuk.com
Droitwich and Evesham,Droitwich and Evesham,Sam Bastow,midworcestershire@reformuk.com
Rugby,Rugby,Francis Holden,chair.rugby@reformuk.com
Nuneaton,Nuneaton,Rob Howard,nuneaton@reformuk.com
North Warwickshire and Bedworth,North Warwickshire and Bedworth,Paul Hopkins,northwarwickshireandbedworth@reformuk.com
Sutton Coldfield,Sutton Coldfield,Mark Hoath,suttoncoldfield@reformuk.com
Croydon and Sutton,Sutton and Cheam,Scott Holman,chair.croydonsutton@reformuk.com
Bolton,Bolton North East,Trevor Jones,Trevor.jones@reformparty.uk
Wandsworth and Merton,Tooting,Ben Cronin,chair.merton.w@reformuk.com
Louth and Horncastle,Louth and Horncastle,Sean Matthews,louthandhorncastle@reformuk.com
Sherwood Forest,Sherwood Forest,Ronald Hartle-Ryton,chair.sherwoodforest@reformuk.com
Gedling,Gedling,Keith Seaton,chair.gedling@reformuk.com
Mansfield,Mansfield,Michael Barton,chair.mansfield@reformuk.com
Ashfield,Ashfield,Melanie Darrington,chair.ashfield@reformuk.com
Nottingham North and Kimberley,Nottingham North and Kimberley,,
Nottingham East,Nottingham East,,
Nottingham South,Nottingham South,,
Rushcliffe,Rushcliffe,James Grice,chair.rushcliffe@reformuk.com
South Holland and the Deepings,South Holland and The Deepings,Matthew Swainson,southhollandandthedeepings@reformuk.com
Boston and Skegness,Boston and Skegness,Michael Cheyne,chair.bas@reformuk.com
Gainsborough,Gainsborough,Pat O'Connor,gainsborough@reformuk.com
Sleaford and North Hykeham,Sleaford and North Hykeham,Nicola Dillon-Jones,chair.sleafordnorthhykeham@reformuk.com
St Albans,St Albans,Eleanor Jackson,stalbans@reformuk.com
Bolsover,Bolsover,Robert Reaney,bolsover@reformuk.com
Chesterfield,Chesterfield,Lewis Whitbread,chair.chesterfield@reformuk.com
Wandsworth and Merton,Battersea,Ben Cronin,chair.merton.w@reformuk.com
Amber Valley,Amber Valley,Marie Cresswell,chair.ambervalley@reformuk.com
Erewash,Erewash,,
Mid Derbyshire,Mid Derbyshire,,
Derby South,Derby South,Alan Graves,alan.graves@reformparty.uk
South Derbyshire,South Derbyshire,,
Derbyshire Dales,Derbyshire Dales,Jeremy Ruse,chair.derbyshiredales@reformuk.com
High Peak,High Peak,Melandra Smith,chair.highpeak@reformuk.com
Southend West and Leigh,Southend West and Leigh,,
Newark,Newark,Lee Smith,chair.newark@reformuk.com
Bassetlaw,Bassetlaw,Joanne Morton,chair.bassetlaw@reformuk.com
Northampton South,Northampton South,Tony Owens,northamptonsouth@reformuk.com
South Northamptonshire,South Northamptonshire,,
Southwark and Lambeth,Bermondsey and Old Southwark,Tony Sharp,chair.southwark.l@reformuk.com
Southwark and Lambeth,Dulwich and West Norwood,Tony Sharp,chair.southwark.l@reformuk.com
Croydon and Sutton,Croydon West,Scott Holman,chair.croydonsutton@reformuk.com
Ealing and Brent,Ealing Central and Acton,Steve Chilcott,chair.ealing.brent@reformuk.com
Ealing and Brent,Ealing Southall,Steve Chilcott,chair.ealing.brent@reformuk.com
Ealing and Brent,Ealing North,Steve Chilcott,chair.ealing.brent@reformuk.com
Hillingdon and Harrow,Hayes and Harlington,Ian Price,chair.hillingdonharrow@reformuk.com
"Camden, Haringey",Holborn and St Pancras,Catherine Becker,chair.camdenharingey@reformuk.com
Enfield,Enfield North,Neville Watson,Chair.enfield@reformuk.com
Enfield,Edmonton and Winchmore Hill,Neville Watson,Chair.enfield@reformuk.com
North West Leicestershire,North West Leicestershire,Joseph Boam,chair.nwleics@reformuk.com
Hinckley and Bosworth,Hinckley and Bosworth,Peter Cheshire,chair.hinckleybosworth@reformuk.com
Leicester East,Leicester East,,
Leicester South,Leicester South,,
Leicester West,Leicester West,,
South Leicestershire,South Leicestershire,Bill Piper,southleicestershire@reformuk.com
Loughborough,Loughborough,Andy McWilliam,loughborough@reformuk.com
"Harborough, Oadby and Wigston","Harborough, Oadby and Wigston",,
Kettering,Kettering,,
Corby and East Northamptonshire,Corby and East Northamptonshire,,
Wellingborough and Rushden,Wellingborough and Rushden,Helen Marden,chair.wellandrush@reformuk.com
Northampton North,Northampton North,Richard Albany-Ward,chair.northamptonnorth@reformuk.com
Daventry,Daventry,Scott Cameron,daventry@reformuk.com
Southend East and Rochford,Southend East and Rochford,,
Harpenden and Berkhamsted,Harpenden and Berkhamsted,Saba Poursaeedi,harpendenandberkhamsted@reformuk.com
Southwark and Lambeth,Peckham,Tony Sharp,chair.southwark.l@reformuk.com
North Bedfordshire,North Bedfordshire,,
South Basildon and East Thurrock,South Basildon and East Thurrock,Alex Anderson,chair.sbet@reformuk.com
Castle Point,Castle Point,Keiron McGill,castlepoint@reformuk.com
Rayleigh and Wickford,Rayleigh and Wickford,Grant Randall,rayleighandwickford@reformuk.com
Maldon,Maldon,Pamela Walford,maldon@reformuk.com
Witham,Witham,,
Colchester,Colchester,Terry Longstaff,colchester@reformuk.com
Harwich and North Essex,Harwich and North Essex,Mark Cole,harwichandnorthessex@reformuk.com
Clacton,Clacton,Peter Harris,peter.harris@peterjamesgroup.co.uk
Dunstable and Leighton Buzzard,Dunstable and Leighton Buzzard,Harry Palmer,dunstableandleightonbuzzard@reformuk.com
Mid Bedfordshire,Mid Bedfordshire,Dave Holland,midbedfordshire@reformuk.com
Bedford,Bedford,,
Peterborough,Peterborough,,
Watford,Watford,Gary Ling,watford@reformuk.com
Huntingdon,Huntingdon,Sarah Smith,huntingdon@reformuk.com 
St Neots and Mid Cambridgeshire,St Neots and Mid Cambridgeshire,Guy Lachlan,stneotsandmidcambridgeshire@reformuk.com 
Cambridge,Cambridge,,
South Cambridgeshire,South Cambridgeshire,,
,,,
Ely and East Cambridgeshire,Ely and East Cambridgeshire,Ryan Coogan,elyandeastcambridgeshire@reformuk.com
North West Norfolk,North West Norfolk,,
South West Norfolk,South West Norfolk,,
Mid Norfolk,Mid Norfolk,Kabeer Kher,midnorfolk@reformuk.com
North Norfolk,North Norfolk,,
Great Yarmouth,Great Yarmouth,,
Thurrock,Thurrock,Sophie Preston-Hall,thurrock@reformuk.com
Basildon and Billericay,Basildon and Billericay,,
Brentwood and Ongar,Brentwood and Ongar,Paul Godfrey,brentwoodandongar@reformuk.com
Epping Forest,Epping Forest,,
Hemel Hempstead,Hemel Hempstead,Noel Willcox,hemelhempstead@reformuk.com
Hertsmere,Hertsmere,Darren Selkus,hertsmere@reformuk.com
Broxbourne,Broxbourne,,
Welwyn Hatfield,Welwyn Hatfield,Jack Aaron,welwynhatfield@reformuk.com
Hertford and Stortford,Hertford and Stortford,John Burmicz,hertfordandstortford@reformuk.com
Stevenage,Stevenage,Peter Hopper,stevenage@reformuk.com
North East Hertfordshire,North East Hertfordshire,Steve Adelantado,northeasthertfordshire@reformuk.com
Hitchin,Hitchin,Charles Bunker,hitchin@reformuk.com
Luton North,Luton North,James Fletcher,lutonnorth@reformuk.com
Norwich,Norwich North,Nick Taylor,norwichnorth@reformuk.com
Norwich,Norwich South,Nick Taylor,norwichnorth@reformuk.com
South Norfolk,South Norfolk,,
Lowestoft,Lowestoft,,
Suffolk Coastal,Suffolk Coastal,Antony Love,chair.suffolkcoastal@reformuk.com
Central Suffolk and North Ipswich,Central Suffolk and North Ipswich,Tony Gould,centralsuffolkandnorthipswich@reformuk.com
